"Firmware Ver", "SDK Ver",		"Date",			"Japan",	"America",	"Europe",	"China",	"Korea",	"Taiwan"
"0.16.19",		"3.2.4",		"2011/11/23",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.20",		"3.2.5",		"2011/11/25",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.21",		"3.2.5",		"2011/11/28",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.22",		"3.2.5",		"2011/11/29",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.23",		"3.2.5",		"2011/12/06",	"Yes",		"Yes",		"Yes",		"   ",		"   ",		"   "
"0.16.24",		"3.3.0",		"2011/12/22",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.64",		"3.3.0",		"2012/01/13",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.17.1",		"4.0.0",		"2012/02/20",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.17.2",		"4.0.1",		"2012/02/29",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.17.3",		"4.0.2",		"2012/03/19",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.17.4",		"4.0.2",		"2012/03/30",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.17.5",		"4.0.2",		"2012/04/06",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.17.6",		"4.1.0",		"2012/05/02",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.17.17",		"4.2.0",		"2012/05/29",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.17.19",		"4.2.1",		"2012/06/27",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.17.48",		"4.2.4",		"2012/11/14",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.18.0",		"5.0.0",		"2012/12/18",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.18.1",		"5.1.0",		"2013/02/07",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.18.2",		"5.1.1",		"2013/02/15",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.18.5",		"5.2.0",		"2013/03/26",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.18.16",		"5.2.0",		"2013/04/01",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.19.0",		"6.0.0",		"2013/04/11",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.19.1",		"6.0.1",		"2013/04/23",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.19.3",		"6.0.1",		"2013/05/20",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.19.6",		"6.1.0",		"2013/06/21",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.19.16",		"6.1.0",		"2013/06/28",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.19.48",		"6.1.0",		"2013/08/07",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.20.0",		"7.0.0",		"2013/08/23",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.20.1",		"7.0.1",		"2013/09/06",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.20.2",		"7.0.2",		"2013/09/18",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.20.3",		"7.0.3",		"2013/09/27",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.20.4",		"7.0.4",		"2013/10/07",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.20.5",		"7.0.5",		"2013/10/16",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.20.6",		"7.0.6",		"2013/10/21",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.20.7",		"7.0.7",		"2013/10/28",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.20.8",		"7.0.8",		"2013/11/06",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.20.9",		"7.0.8",		"2013/11/15",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.20.10",		"7.1.0",		"2013/11/26",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.20.17",		"7.1.1",		"2013/12/16",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.20.18",		"7.1.1",		"2014/01/07",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.20.48",		"7.2.0",		"2014/04/04",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.20.51",		"7.2.1",		"2014/05/13",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.22.1",		"9.6.0",		"2013/07/25",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.22.2",		"9.7.0",		"2013/09/30",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.22.3",		"9.8.0",		"2014/01/08",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.22.4",		"9.8.0",		"2014/01/24",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.22.5",		"9.9.0",		"2014/03/26",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.22.6",		"9.10.0",		"2014/04/30",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.22.7",		"9.11.0",		"2014/06/10",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.22.34",		"9.12.0",		"2014/07/03",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.22.35",		"9.12.0",		"2014/07/10",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.22.36",		"9.12.0",		"2014/07/14",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.22.37",		"9.12.0",		"2014/07/16",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.22.38",		"9.12.0",		"2014/07/22",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.22.39",		"9.12.0",		"2014/07/25",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.22.40",		"9.12.0",		"2014/07/30",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.23.0",		"10.0.0",		"2014/08/27",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.23.1",		"10.0.1",		"2014/09/08",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.23.2",		"10.0.2",		"2014/09/10",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.23.3",		"10.0.2",		"2014/09/12",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.23.5",		"10.1.0",		"2014/10/15",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.24.0",		"11.0.0",		"2014/11/11",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.24.1",		"11.0.1",		"2014/11/11",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.24.2",		"11.0.2",		"2014/11/21",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.24.4",		"11.1.0",		"2014/12/09",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.24.6",		"11.1.0",		"2014/12/15",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.24.19",		"11.1.0",		"2015/02/03",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.24.32",		"11.2.0",		"2015/02/26",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.24.33",		"11.2.1",		"2015/03/05",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.24.38",		"11.3.0",		"2015/03/24",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.24.39",		"11.3.0",		"2015/03/27",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.24.48",		"11.3.0",		"2015/04/13",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.24.49",		"11.3.0",		"2015/04/21",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.24.51",		"11.3.0",		"2015/06/02",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.24.52",		"11.3.1",		"2015/06/05",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.24.53",		"11.3.1",		"2015/07/09",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.24.66",		"11.4.0",		"2015/09/07",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.24.67",		"11.4.0",		"2015/09/16",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.24.68",		"11.4.0",		"2015/10/09",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.24.69",		"11.4.0",		"2015/11/13",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.24.70",		"11.4.0",		"2015/12/08",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.24.71",		"11.4.0",		"2015/12/24",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.24.73",		"11.4.0",		"2016/01/20",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.24.74",		"11.4.0",		"2016/01/26",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.24.75",		"11.4.0",		"2016/02/01",	"No ",		"No ",		"No ",		"No ",		"No ",		"No "
"0.24.76",		"11.4.0",		"2016/02/26",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.24.77",		"11.4.0",		"2016/02/27",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.25.0",		"11.5.0",		"2016/05/09",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.25.1",		"11.5.1",		"2016/08/04",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.25.3",		"11.5.2",		"2016/10/28",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.25.4",		"11.5.2",		"2017/01/26",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.25.5",		"11.5.2",		"2017/03/21",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.25.18",		"11.5.2",		"2017/05/18",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.26.1",		"11.5.2",		"2017/07/07",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.27.0",		"11.6.0",		"2017/09/19",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.28.0",		"11.6.1",		"2018/07/31",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.30.0",		"11.6.1",		"2019/03/16",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.31.0",		"11.6.1",		"2019/11/05",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.32.0",		"11.6.1",		"2019/12/03",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.33.0",		"11.6.1",		"2020/11/17",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.34.0",		"11.6.1",		"2021/09/17",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
"0.35.0",		"11.6.1",		"2022/08/30",	"Yes",		"Yes",		"Yes",		"Yes",		"Yes",		"Yes"
